uint8_t Level_01[] = {
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 43,43,  1, 1, 42,42,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 43,43,  2, 2, 42,42,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 33,33,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 33,33,  0, 0,  0, 0,  0, 0,  8, 8,  1, 1,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0, 12,12,  2, 2,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  1, 1, 20, 0,  0, 0,  0, 0,  1, 1,  1, 1, 34,35,  1, 1,  1, 1,  1, 1, 31,31,  0, 0,  0, 0,  1, 1, 12,12,  1, 1,  0, 0,},
{ 0, 0,  0, 0, 23,23,  0, 0,  0, 0, 53,53,  0, 0, 31,31,  2, 2,  2,20,  0, 0,  0, 0,  2, 2,  2, 2, 34,35,  2, 2,  2, 2,  2, 2, 31,31,  0, 0,  0, 0,  2, 2, 12,12,  2, 2,  0, 0,},
{ 8, 8,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1, 31,31,  0, 0, 43,43, 20, 0,  0, 0,  1, 1,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0, 12,12,  1, 1,  0, 0,},
{12,12,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2, 31,31,  0, 0, 43,43,  2,20, 53,53,  2, 2,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0, 12,12,  2, 2,  0, 0,},
{12,12,  1, 1, 33,33,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0, 43,43,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0, 12,12,  1, 1,  0, 0,},
{12,12,  2, 2, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0, 43,43,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  7, 7,  2, 2,  0, 0,},
{12,12,  1, 1, 31,31, 28,28, 28,28, 28,28, 28,28, 31,31,  1, 1, 20, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0, 25,25,  4, 5,  1, 1,  1, 1,  0, 0,},
{12,12,  2, 2, 31,31,  2, 2,  2, 2,  2, 2,  2, 2, 31,31,  2, 2,  2,20,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 32,32,  0, 0, 25,25,  1, 2,  2, 2,  2, 2,  0, 0,},
{12,12,  1, 1, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0, 43,43, 20, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 5,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,},
{12,12,  2, 2, 32,32,  0, 0,  0, 0,  0, 0,  0, 0, 32,32,  0, 0, 43,43,  2,20,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  6, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,},
{12,12, 18,18,  1, 1,  9, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 18,18, 20, 0,  0, 0,  0, 0,  0, 0,  0, 5,  1, 1,  2, 2,  2, 2,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,},
{ 7, 7, 18,18,  2, 2,  2,11,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 18,18,  2,20,  0, 0,  0, 0,  0, 0,  6, 2,  2, 2,  50, 50,  51, 51,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,},
};

uint8_t Level_01_Items[] = {
41,                             // ItemType::Chakana
96, 1,                             // Position X
64,                             // Position Y
9,                             // Frame
0, 0,                         // Data
0, 0,                             // Counter

20,                             // ItemType::Flame
64, 1,                             // Position X
64,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

11,                             // ItemType::MysteryCrate
208, 1,                             // Position X
32,                             // Position Y
0,                             // Frame
59, 0,                              // Data
0, 0,                            // Counter

59,                             // ItemType::Chakana_Small
32, 1,                             // Position X
0,                             // Position Y
9,                             // Frame
5, 0,                             // Data
0, 0,                            // Counter

9,                             // ItemType::PinchBar
208, 0,                             // Position X
48,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

4,                             // ItemType::Punji
176, 0,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

20,                             // ItemType::Flame
224, 0,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

7,                             // ItemType::Amulet
80, 1,                             // Position X
96,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                              // Counter

43,                             // ItemType::Lever_LH
224, 1,                             // Position X
96,                             // Position Y
0,                             // Frame
1, 0,                             // Data
0, 0,                             // Counter

45,                             // ItemType::Lever_Portal_Closed
112, 1,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                            // Counter

63,                             // ItemType::Puff
0, 0,                            // Position X
0,                             // Position Y
255,                             // Frame
0, 0,                           // Data
0, 0,                            // Counter
};

uint8_t Level_01_Enemies[] = {
0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack
};
