uint8_t Level_03[] = {
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,  1, 1,  8, 8,  1, 1,  9,10,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,  2, 2, 12,12,  2, 2,  2, 1,  0, 0,  0, 0,  0, 0, 23,23,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0, 33,33,  1, 1, 33,33,  0, 0, 33,33,  0, 0,  0, 0,  0, 0, 12,12,  0, 0,  1, 1,  1, 1,  8, 8,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0, 36,37, 34,35,  1, 1,},
{ 0, 0, 31,31,  2, 2, 31,31,  0, 0, 31,31,  0, 0,  0, 0,  0, 0, 12,12,  0, 0,  2, 2,  2, 2, 12,12,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0, 36,37, 34,35,  2, 2,},
{ 1, 1, 31,31,  1, 1, 31,31,  1, 1, 31,31,  0, 0,  0, 0,  0, 0, 12,12,  0, 0,  0, 0,  0, 0, 12,12,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  8, 8,  1, 1,},
{ 2, 2, 31,31,  2, 2, 31,31,  2, 2, 31,31,  0, 0,  0, 0,  0, 0,  7, 7,  0, 0,  0, 0,  0, 0,  7, 7,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2, 12,12,  2, 2,},
{ 0, 0, 31,31,  0, 0, 31,31,  0, 0, 31,31,  0, 0,  1, 1,  8, 8,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,  1, 1,},
{ 0, 0, 31,31,  0, 0, 31,31,  0, 0, 31,31,  0, 0,  2, 2, 12,12,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,  2, 2,},
{ 0, 0, 31,31,  1, 1, 31,31,  0, 0, 31,31,  0, 0,  0, 0, 12,12,  0, 0,  0, 0,  0, 0, 24,24,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1, 12,12,  1, 1,},
{ 0, 0, 31,31,  2, 2, 31,31,  0, 0, 32,32,  0, 0,  0, 0, 12,12,  0, 0,  0, 0,  0, 0, 24,24,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2, 12,12,  2, 2,},
{ 0, 0, 31,31,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,  0, 0,  8, 8,  1, 1,  1, 1,  9,10,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 25,25,  0, 0, 12,12,  1, 1,},
{ 0, 0, 32,32,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,  0, 0, 12,12,  2, 2,  2, 2,  2, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 25,25,  0, 0,  7, 7,  2, 2,},
{ 4, 5,  1, 1, 20, 0, 31,31,  0, 0, 18,18,  1,19,  0, 0, 12,12,  0, 0, 12,12,  0, 0,  0, 0,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,},
{ 1, 2,  2, 2,  2,20, 32,32,  0, 0, 18,18,  2, 2,  0, 0,  7, 7,  0, 0,  7, 7,  0, 0,  0, 0,  2, 2,  2, 2, 40,40, 38,38, 39,39,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,},
};

uint8_t Level_03_Items[] = {
41,                             // ItemType::Chakana
208, 1,                             // Position X
80,                             // Position Y
9,                             // Frame
0, 0,                         // Data
0, 0,                             // Counter

9,                             // ItemType::PinchBar
176, 0,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

51,                             // ItemType::LifeSaver
144, 0,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                             // Counter

2,                             // ItemType::WoodenBarrier
80, 1,                             // Position X
32,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

5,                             // ItemType::Hammer
160, 1,                             // Position X
96,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

11,                             // ItemType::MysteryCrate
224, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
60, 0,                              // Data
0, 0,                            // Counter

4,                             // ItemType::Punji
128, 1,                             // Position X
96,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

44,                             // ItemType::Lever_RH
192, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
6, 0,                             // Data
0, 0,                            // Counter

44,                             // ItemType::Lever_RH
208, 1,                             // Position X
48,                             // Position Y
0,                             // Frame
1, 0,                             // Data
0, 0,                            // Counter

46,                             // ItemType::Lever_Portal_Open
0, 2,                             // Position X
80,                             // Position Y
9,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

47,                             // ItemType::Lever_Portal_Auto_Closed
240, 1,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 4,                             // Data
0, 0,                             // Counter

63,                             // ItemType::Puff
0, 0,                            // Position X
0,                             // Position Y
255,                             // Frame
0, 0,                           // Data
0, 0,                            // Counter
};

uint8_t Level_03_Enemies[] = {
0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack
};
