uint8_t Level_08[] = {
{ 0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0, 33,33,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  8, 8,  1, 1,  0, 0,  8, 8,  1, 1,},
{ 0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  7, 7,  2, 2,  0, 0, 12,12,  2, 2,},
{ 0, 0,  1, 1,  1, 1,  1, 1, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,  1, 1,  1, 1, 12,12,  1, 1,},
{ 0, 0,  2, 2,  2, 2,  2, 2, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,  2, 2,  2, 2, 12,12,  2, 2,},
{ 0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0,17,  0, 0,  0, 0,  1, 1,  1, 1,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0, 12,12,  0, 0,  0, 0, 12,12,  1, 1,},
{ 0, 0,  0, 0,  0, 0,  0, 0, 32,32,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  2, 2,  2, 2,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  7, 7,  0, 0,  0, 0,  7, 7,  2, 2,},
{ 0, 0,  0, 0,  0, 0,  0, 5,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  8, 8,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,},
{ 0, 0,  0, 0,  0, 0,  6, 2,  2, 2,  2, 2, 38,38, 39,39, 40,40,  2, 2,  2, 2, 38,38, 39,39, 40,40, 38,38, 39,39, 40,40,  2, 2, 12,12,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,},
{ 0, 0,  0, 0,  0, 5, 42,42,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0, 12,12,  0, 0,  1, 1,  0, 0,  1, 1,  0, 0,  0, 0,},
{ 0, 0,  0, 0,  6, 2, 42,42,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0, 12,12,  0, 0,  2, 2,  0, 0,  2, 2,  0, 0,  0, 0,},
{ 0, 0,  0, 5, 42,42,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0, 24,24,  0, 0, 12,12,  0, 0, 25,25,  0, 0,  1, 1,  0, 0,  0, 0,},
{ 0, 0,  6, 2, 42,42,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0, 24,24,  0, 0, 12,12,  0, 0, 25,25,  0, 0,  2, 2,  0, 0,  0, 0,},
{ 0, 0, 18,18,  0, 0,  0, 5,  1, 1,  9, 0,  0, 0,  0, 0,  0, 5,  1, 1,  1, 1,  1, 1,  9, 0,  0, 0, 34,35,  0, 0, 24,24,  0, 0, 12,12,  0, 0, 25,25,  0, 0, 34,35,  0, 0,  0, 0,},
{ 0, 0, 18,18,  0, 0,  6, 2,  2, 2,  2,11,  0, 0,  0, 0,  6, 2,  2, 2,  2, 2,  2, 2,  2,11,  0, 0, 34,35,  0, 0, 24,24,  0, 0,  7, 7,  0, 0, 25,25,  0, 0, 34,35,  0, 0,  0, 0,},
};

uint8_t Level_08_Items[] = {
5,                             // ItemType::Hammer
16, 2,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

11,                             // ItemType::MysteryCrate
208, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
17, 0,                              // Data
0, 0,                            // Counter

11,                             // ItemType::MysteryCrate
208, 1,                             // Position X
0,                             // Position Y
0,                             // Frame
5, 0,                              // Data
0, 0,                            // Counter

43,                             // ItemType::Lever_LH
224, 1,                             // Position X
0,                             // Position Y
0,                             // Frame
1, 0,                             // Data
0, 0,                             // Counter

41,                             // ItemType::Chakana
208, 0,                             // Position X
16,                             // Position Y
9,                             // Frame
0, 0,                         // Data
0, 0,                             // Counter

38,                             // ItemType::SwingyThing
240, 0,                             // Position X
16,                             // Position Y
9,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

3,                             // ItemType::TrapDoor
240, 1,                             // Position X
64,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

2,                             // ItemType::WoodenBarrier
144, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

2,                             // ItemType::WoodenBarrier
144, 1,                             // Position X
0,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

46,                             // ItemType::Lever_Portal_Open
240, 1,                             // Position X
0,                             // Position Y
9,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

45,                             // ItemType::Lever_Portal_Closed
112, 1,                             // Position X
0,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                            // Counter

63,                             // ItemType::Puff
0, 0,                            // Position X
0,                             // Position Y
255,                             // Frame
0, 0,                           // Data
0, 0,                            // Counter
};

uint8_t Level_08_Enemies[] = {
1                            // EnemyType::Archer
16, 2,                             // Position X
0,                             // Position Y
252, 3,                             // Stance::Enemy_Walk_Bow_LH_00
12,                              // Health
0,                              // Sword Wound
23,                             // Inventory ItemType::Arrow_LH_Hidden
0, 0, 0, 0,                               // Padding
26, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack
};
