uint8_t Level_10[] = {
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 41,41,  0, 0, 33,33,  0, 0, 34,35,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 41,41,  0, 0, 31,31,  0, 0, 34,35,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0,22,  1, 1,  1, 1,  1, 1, 31,31,  1, 1,  1, 1,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0,  0, 0, 29, 0,  0, 0,  0,30,  0, 0, 22, 2,  2, 2,  2, 2,  2, 2, 31,31,  2, 2,  2, 2,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1, 42,42, 33,33,  0, 0, 31,31,  0, 0, 34,35,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,},
{ 2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2, 42,42, 31,31,  0, 0, 31,31,  0, 0, 34,35,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,},
{ 0, 0, 33,33,  0, 0,  0, 0,  0, 0,  0, 0, 33,33,  0, 0, 31,31,  1, 1, 31,31,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  1, 1,  0, 0,  0, 0,  1, 1,},
{ 0, 0, 31,31,  0, 0, 23,23,  0, 0,  0, 0, 31,31,  0, 0, 31,31,  2, 2, 31,31,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  2, 2,  0, 0,  0, 0,  2, 2,},
{ 1, 1, 31,31,  1, 1,  1, 1,  1, 1,  1, 1, 31,31,  0, 0, 31,31,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 2, 2, 31,31,  2, 2,  2, 2,  2, 2,  2, 2, 31,31,  0, 0, 31,31,  0, 0, 32,32,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  1, 1, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  1, 1,  0, 0,  1, 1,  0, 0,  0, 0,},
{ 0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  2, 2, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  2, 2,  0, 0,  2, 2,  0, 0,  0, 0,},
{ 0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1,},
{ 0, 0, 32,32,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0, 32,32,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2,},
{46,46,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 18,18,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,},
{46,46,  0, 0,  0, 0, 53,53,  0, 0,  0, 0, 32,32,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 18,18, 39,39, 38,38, 40,40,  2, 2, 39,39, 38,38, 40,40,  2, 2, 39,39, 38,38, 40,40,  2, 2,},
};

uint8_t Level_10_Items[] = {
18,                             // ItemType::Swinging_Vine
176, 0,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

41,                             // ItemType::Chakana
16, 2,                             // Position X
32,                             // Position Y
9,                             // Frame
0, 0,                         // Data
0, 0,                             // Counter

28,                             // ItemType::Trebuchet_Left
32, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

59,                             // ItemType::Chakana_Small
0, 2,                             // Position X
96,                             // Position Y
9,                             // Frame
5, 0,                             // Data
0, 0,                            // Counter

59,                             // ItemType::Chakana_Small
112, 1,                             // Position X
48,                             // Position Y
9,                             // Frame
5, 0,                             // Data
0, 0,                            // Counter

59,                             // ItemType::Chakana_Small
176, 1,                             // Position X
48,                             // Position Y
9,                             // Frame
5, 0,                             // Data
0, 0,                            // Counter

20,                             // ItemType::Flame
192, 0,                             // Position X
0,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

4,                             // ItemType::Punji
192, 0,                             // Position X
64,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

43,                             // ItemType::Lever_LH
144, 0,                             // Position X
64,                             // Position Y
0,                             // Frame
1, 0,                             // Data
0, 0,                             // Counter

61,                             // ItemType::Poker
16, 1,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                            // Counter

44,                             // ItemType::Lever_RH
144, 0,                             // Position X
96,                             // Position Y
0,                             // Frame
3, 0,                             // Data
0, 0,                            // Counter

45,                             // ItemType::Lever_Portal_Closed
80, 1,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                            // Counter

46,                             // ItemType::Lever_Portal_Open
80, 1,                             // Position X
80,                             // Position Y
9,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

63,                             // ItemType::Puff
0, 0,                            // Position X
0,                             // Position Y
255,                             // Frame
0, 0,                           // Data
0, 0,                            // Counter
};

uint8_t Level_10_Enemies[] = {
2                            // EnemyType::TrebuchetOperator
62, 1,                             // Position X
0,                             // Position Y
13, 4,                             // Stance::Enemy_Trebuchet_Release_LH_01
12,                              // Health
0,                              // Sword Wound
33,                             // Inventory ItemType::Trebuchet_Ball_Left_Hidden
0, 0, 0, 0,                               // Padding
0, 0,                           // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack
};
