uint8_t Level_11[] = {
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 33,33,  0, 0,  0, 0,  1, 1, 33,33,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 34,35, 34,35,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  2, 2, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 34,35, 34,35,},
{ 0, 0,  0, 0,  8, 8,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 5,  1, 1, 31,31,  0, 0,  0, 0,  1, 1, 31,31,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  8, 8,},
{ 0, 0,  0, 0, 12,12,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  6, 2,  2, 2, 31,31,  0, 0,  0, 0,  2, 2, 31,31,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2, 12,12,},
{ 1, 1,  1, 1, 12,12,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1, 31,31,  1, 1,  1, 1,  1, 1, 31,31,  1, 1,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,},
{ 2, 2,  2, 2, 12,12,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2, 31,31,  2, 2,  2, 2,  2, 2, 31,31,  2, 2,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,},
{ 0, 0,  0, 0, 12,12,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  1, 1, 33,33,  0, 0, 31,31,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  1, 1, 12,12,},
{ 0, 0,  0, 0, 12,12,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  2, 2, 31,31,  0, 0, 31,31,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  2, 2, 12,12,},
{ 0, 0,  0, 0, 12,12,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  1, 1, 31,31,  1, 1, 31,31,  1, 1,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,},
{ 0, 0,  0, 0,  7, 7,  2, 2,  0, 0,  0, 0,  0, 0, 29, 0,  0, 0,  0,30,  0, 0, 32,32,  2, 2, 31,31,  2, 2, 31,31,  2, 2,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,},
{ 8, 8,  1, 1,  1, 1,  1, 1,  0, 0,  0,22,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1, 31,31,  0, 0, 31,31,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0, 12,12,},
{12,12,  2, 2,  2, 2,  2, 2,  0, 0, 22, 2,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2, 31,31,  0, 0, 32,32,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0, 12,12,},
{12,12,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 26,26,  0, 0, 31,31,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  1, 1,  0, 0,  0, 0,  0, 0,  0, 0, 12,12,},
{12,12,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 26,26,  0, 0, 31,31,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  2, 2,  0, 0,  0, 0,  0, 0,  0, 0,  7, 7,},
{12,12,  0, 0, 25,25, 18,18,  1, 1,  2, 2,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  2, 2,  2, 2, 31,31,  0, 0,  0, 0, 18,18,  1, 1,  0, 0,  0, 0,  0, 5,  1, 1,  1, 1,  1, 1,  1, 1,},
{ 7, 7,  0, 0, 25,25, 18,18,  2, 2,  49, 49,  2, 2, 40,40, 38,38, 39,39,  2, 2,  50, 50,  51, 51, 32,32,  0, 0,  0, 0, 18,18,  2, 2,  0, 0,  0, 0,  6, 2,  2, 2,  2, 2,  2, 2,  2, 2,},
};

uint8_t Level_11_Items[] = {
38,                             // ItemType::SwingyThing
208, 0,                             // Position X
112,                             // Position Y
9,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

18,                             // ItemType::Swinging_Vine
0, 1,                             // Position X
64,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

11,                             // ItemType::MysteryCrate
176, 0,                             // Position X
0,                             // Position Y
0,                             // Frame
55, 0,                              // Data
0, 0,                            // Counter

26,                             // ItemType::Sword
224, 0,                             // Position X
96,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

9,                             // ItemType::PinchBar
144, 0,                             // Position X
96,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

41,                             // ItemType::Chakana
240, 1,                             // Position X
112,                             // Position Y
9,                             // Frame
0, 0,                         // Data
0, 0,                             // Counter

14,                             // ItemType::LockedDoor
64, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

0,                             // ItemType::Key1
96, 1,                             // Position X
96,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

12,                             // ItemType::Potion
160, 1,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                            // Counter

43,                             // ItemType::Lever_LH
160, 1,                             // Position X
48,                             // Position Y
0,                             // Frame
2, 0,                             // Data
0, 0,                             // Counter

43,                             // ItemType::Lever_LH
240, 1,                             // Position X
16,                             // Position Y
0,                             // Frame
3, 0,                             // Data
0, 0,                             // Counter

46,                             // ItemType::Lever_Portal_Open
16, 2,                             // Position X
112,                             // Position Y
9,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

45,                             // ItemType::Lever_Portal_Closed
0, 2,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                            // Counter

63,                             // ItemType::Puff
0, 0,                            // Position X
0,                             // Position Y
255,                             // Frame
0, 0,                           // Data
0, 0,                            // Counter
};

uint8_t Level_11_Enemies[] = {
1                            // EnemyType::Archer
224, 1,                             // Position X
112,                             // Position Y
252, 3,                             // Stance::Enemy_Walk_Bow_LH_00
12,                              // Health
0,                              // Sword Wound
23,                             // Inventory ItemType::Arrow_LH_Hidden
0, 0, 0, 0,                               // Padding
22, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

1                            // EnemyType::Archer
224, 1,                             // Position X
48,                             // Position Y
195, 3,                             // Stance::Enemy_Walk_Bow_RH_00
12,                              // Health
0,                              // Sword Wound
25,                             // Inventory ItemType::Arrow_RH_Hidden
0, 0, 0, 0,                               // Padding
22, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

3                            // EnemyType::SwordFighter
16, 1,                             // Position X
96,                             // Position Y
27, 4,                             // Stance::Enemy_Sword_Stationary_LH
12,                              // Health
0,                              // Sword Wound
50,                             // Inventory ItemType::Glint_Hidden
0, 0, 0, 0,                               // Padding
64, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack
};
