uint8_t Level_13[] = {
{33,33,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 33,33,  1, 1,  0, 0, 25,25,  0, 0, 13,15, 15,15, 15,15, 15,15, 15,14,  0, 0, 33,33,  0, 0, 26,26,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  2, 2,  0, 0, 25,25,  0, 0, 13, 0,  0, 0,  0, 0,  0, 0,  0,14,  0, 0, 31,31,  0, 0, 26,26,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{31,31,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1, 31,31,  1, 1,  8, 8,  1, 1,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1, 31,31,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1, 20, 0,  0, 0,},
{31,31,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2, 31,31,  2, 2, 12,12,  2, 2,  2, 2,  2, 2,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2, 31,31,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2,20,  0, 0,},
{31,31, 43,43,  1, 1,  1, 1,  0, 0,  0, 0, 31,31,  1, 1, 12,12,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  1, 1, 31,31,  0, 0, 26,26,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{31,31, 43,43,  2, 2,  2, 2,  0, 0,  0, 0, 31,31,  2, 2,  7, 7,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  2, 2, 31,31,  0, 0, 26,26,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,},
{31,31,  0, 0, 36,37,  0, 0,  0, 0,  1, 1, 31,31, 43,43,  1, 1,  1, 1,  1, 1,  0, 0,  0, 0,  0, 0,  1, 1,  8, 8,  1, 1, 31,31,  1, 1,  1, 1,  1, 1,  1, 1,  0, 0,  0,22,  1, 1,},
{31,31,  0, 0, 36,37,  0, 0,  0, 0,  2, 2, 31,31, 43,43,  2, 2,  2, 2,  2, 2, 40,40, 38,38, 39,39,  2, 2, 12,12,  2, 2, 31,31,  2, 2,  2, 2,  2, 2,  2, 2,  0, 0, 22, 2,  2, 2,},
{31,31,  0, 5,  1, 1,  1, 1,  0, 0,  0, 0, 31,31,  0, 0,  0, 0,  0, 0,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1, 12,12,  1, 1, 31,31,  0, 0,  0, 0, 26,26,  0, 0,  0, 0,  0, 0,  0, 0,},
{32,32,  6, 2,  2, 2,  2, 2,  0, 0,  0, 0, 32,32,  0, 0,  0, 0,  0, 0,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2, 12,12,  2, 2, 31,31,  0, 0,  0, 0, 26,26,  0, 0,  0, 0,  0, 0,  0, 0,},
{ 1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  9, 0,  0, 0,  0, 0, 24,24,  0, 0,  0, 0,  0, 0, 12,12,  1, 1, 31,31,  0, 0,  1, 1,  1, 1,  1, 1,  1, 1, 20, 0,  0, 0,},
{ 2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2,11,  0, 0,  0, 0, 24,24,  0, 0,  0, 0,  0, 0,  7, 7,  2, 2, 31,31,  0, 0,  2, 2,  2, 2,  2, 2,  2, 2,  2,20,  0, 0,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 43,43,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1,  1, 1, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 43,43,  1,19,},
{ 0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 43,43,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2,  2, 2, 31,31,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 43,43,  2, 2,},
{ 0, 0,  4, 5, 18,18,  2, 2,  2, 2, 18,18,  8, 8,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 31,31,  0, 0,  0, 5,  1, 1,  1, 1,  9, 0,  0, 0,  0, 0,},
{ 0, 0,  1, 2, 18,18,  50, 50,  51, 51, 18,18,  7, 7,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0,  0, 0, 32,32,  0, 0,  6, 2,  2, 2,  2, 2,  2,11,  0, 0,  0, 0,},
};

uint8_t Level_13_Items[] = {
41,                             // ItemType::Chakana
160, 0,                             // Position X
112,                             // Position Y
9,                             // Frame
0, 0,                         // Data
0, 0,                             // Counter

0,                             // ItemType::Key1
32, 1,                             // Position X
0,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

0,                             // ItemType::Key1
16, 2,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

14,                             // ItemType::LockedDoor
192, 1,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

9,                             // ItemType::PinchBar
224, 1,                             // Position X
112,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

14,                             // ItemType::LockedDoor
192, 1,                             // Position X
80,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

14,                             // ItemType::LockedDoor
208, 1,                             // Position X
48,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

5,                             // ItemType::Hammer
192, 1,                             // Position X
48,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

11,                             // ItemType::MysteryCrate
32, 1,                             // Position X
112,                             // Position Y
0,                             // Frame
55, 0,                              // Data
0, 0,                            // Counter

2,                             // ItemType::WoodenBarrier
64, 1,                             // Position X
32,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

3,                             // ItemType::TrapDoor
192, 0,                             // Position X
16,                             // Position Y
0,                             // Frame
0, 0,                             // Data
0, 0,                             // Counter

26,                             // ItemType::Sword
144, 0,                             // Position X
0,                             // Position Y
0,                             // Frame
0, 0,                            // Data
0, 0,                            // Counter

43,                             // ItemType::Lever_LH
176, 0,                             // Position X
96,                             // Position Y
0,                             // Frame
1, 0,                             // Data
0, 0,                             // Counter

47,                             // ItemType::Lever_Portal_Auto_Closed
176, 0,                             // Position X
64,                             // Position Y
0,                             // Frame
32, 3,                             // Data
0, 0,                             // Counter

63,                             // ItemType::Puff
0, 0,                            // Position X
0,                             // Position Y
255,                             // Frame
0, 0,                           // Data
0, 0,                            // Counter
};

uint8_t Level_13_Enemies[] = {
1                            // EnemyType::Archer
224, 1,                             // Position X
16,                             // Position Y
252, 3,                             // Stance::Enemy_Walk_Bow_LH_00
12,                              // Health
0,                              // Sword Wound
23,                             // Inventory ItemType::Arrow_LH_Hidden
0, 0, 0, 0,                               // Padding
18, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

3                            // EnemyType::SwordFighter
112, 1,                             // Position X
0,                             // Position Y
27, 4,                             // Stance::Enemy_Sword_Stationary_LH
12,                              // Health
0,                              // Sword Wound
50,                             // Inventory ItemType::Glint_Hidden
0, 0, 0, 0,                               // Padding
64, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack

0                            // EnemyType::None
0,                             // Position X
0,                             // Position Y
0,                             // Stance::Enemy_None
0,                             // Inventory ItemType::None
0,                             // IData

0                            // EnemyType::None
0, 0,                             // Position X
0,                             // Position Y
0, 0,                             // Stance::None
12,                              // Health
0,                              // Sword Wound
0,                             // Inventory ItemType::None
0, 0, 0, 0,                               // Padding
0, 0,                              // Data
0, 0,                             // Counter
0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,0,0,0, 0,0, 0,0, 0,0, 0,                            // Stack
};
